SIXBUS LOAD FLOW SAMPLE SYSTEM
------------------------------
6
3
11
1
1 BUS_1 0.0 0.0 0.95 1.05
2 BUS_2 0.0 0.0 0.95 1.05
3 BUS_3 0.0 0.0 0.95 1.05
4 BUS_4 0.7 0.7 0.95 1.05
5 BUS_5 0.7 0.7 0.95 1.05
6 BUS_6 0.7 0.7 0.95 1.05
1 0.0 1.05 1.0 -1.0
2 0.5 1.05 1.0 -1.0
3 0.6 1.07 0.6 -1.0
1  2  0.10  0.20  0.02    1.0  LINE  
1  4  0.05  0.20  0.02    1.0  LINE  
1  5  0.08  0.30  0.03    1.0  LINE  
2  3  0.05  0.25  0.03    1.0  LINE  
2  4  0.05  0.10  0.01    1.0  LINE  
2  5  0.10  0.30  0.02    1.0  LINE  
2  6  0.07  0.20  0.025   1.0  LINE  
3  5  0.12  0.26  0.025   1.0  LINE  
3  6  0.02  0.10  0.01    1.0  LINE  
4  5  0.20  0.40  0.04    1.0  LINE  
5  6  0.10  0.30  0.03    1.0  LINE  

