base case data for problem in section 6.6 of text 
--------------------------------------------------
20 12
0.0    0.0    0.0    1811.0 0.0    1789.0 0.0    0.0    1811.0 0.0    0.0    1789.0 0.0    0.0    1811.0 0.0    0.0    1789.0 0.0    0.0 
633250.8
1.0    0.0    1.0   -60.4   0.0    0.0    -1.0   0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0   = 2775.4
0.0    1.0    0.0    0.0    1.0   -59.7   0.0    0.0    0.0   -1.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0   = 4260.5
0.0    0.0    0.0    0.0    0.0    0.0    1.0    1.0   -60.4   0.0    0.0    0.0   -1.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0   = 2775.4
0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    1.0    1.0   -59.7   0.0    0.0    0.0   -1.0    0.0    0.0    0.0    0.0   = 4260.5
0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    1.0    1.0   -60.4   0.0    0.0    0.0   -1.0    0.0   = 2775.4
0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    1.0    1.0   -59.7   0.0   -1.0   = 4260.5
0.0    0.0    1.0    0.0    1.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0   = 40000.0
0.0    0.0    0.0    0.0    0.0    0.0    0.0    1.0    0.0    0.0    1.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0   = 40000.0
0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    1.0    0.0    0.0    1.0    0.0    0.0    0.0   = 40000.0
0.0    0.0    0.0    1.0    0.0    1.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0   = 1200.0
0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    1.0    0.0    0.0    1.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0   = 1500.0
0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    1.0    0.0    0.0    1.0    0.0    0.0   = 800.0
1  70000.0   70000.0    volume coal pile 1 week 1
2  70000.0   70000.0    volume coal pile 2 week 1
3      0.0   40000.0    coal delivery to plant 1 week 1
4    150.0     600.0    plant 1 MW week 1
5      0.0   40000.0    coal delivery to plant 2 week 1
6    400.0    1000.0    plant 2 MW week 1
7      0.0  200000.0    volume coal pile 1 week 2
8      0.0   40000.0    coal delivery to plant 1 week 2
9    150.0     600.0    plant 1 MW week 2
10     0.0  200000.0    volume coal pile 2 week 2
11     0.0    0000.0    coal delivery to plant 2 week 2
12   400.0    1000.0    plant 2 MW week 2
13     0.0  200000.0    volume coal pile 1 week 3
14     0.0   40000.0    coal delivery to plant 1 week 3
15   150.0     600.0    plant 1 MW week 3
16     0.0  200000.0    volume coal pile 2 week 3
17     0.0   40000.0    coal delivery to plant 2 week 3
18   400.0    1000.0    plant 2 MW week 3
19     0.0  200000.0    volume in coal pile 1 week 4
20     0.0  200000.0    volume in coal pile 2 week 4

