FILE EDC3.DAT ------ PIECEWIZE INPUT/OUTPUT CURVES  NO LOSSES
-------------------------------------------------------------
3  PIO  5  NOLOSS
UNIT1  100.0  200.0  1.00
100.0  10200.0
120.0  14620.0
140.0  19840.0
160.0  25860.0
180.0  32680.0
200.0  40300.0
UNIT2  50.0  300.0  1.00
50.0  10000.0
100.0  15000.0
150.0  22500.0
200.0  32500.0
250.0  45000.0
300.0  60000.0
UNIT3  200.0  700.0  1.00
200.0  10000.0
300.0  15000.0
400.0  21000.0
500.0  28000.0
600.0  36000.0
700.0  45000.0

